tendencia_ingresos,antiguedad_cliente,cant_creditosvigentes,capital_prestado,creditos_sectorCooperativo,creditos_sectorFinanciero,creditos_sectorReal,cuota_pactada,edad_cliente,en_mora,huella_consulta,intereses,promedio_ingresos_datacredito,puntaje_datacredito,salario_cliente,saldo_principal,saldo_total,total_otros_prestamos,tipo_credito_6,tipo_credito_7,tipo_credito_9,tipo_credito_10,tipo_laboral_Independiente,pago_atiempo
0.0,0.25,0.13157894736842105,0.01864620253164557,0.0,0.06451612903225806,0.041666666666666664,0.05004273907125288,0.3673469387755102,0.0,0.24137931034482757,0.0031348571481619133,0.04127959717577484,0.7036516853932584,0.0001590909090909091,0.05772460749722578,0.014611031210308859,0.0012,0.0,0.0,0.0,0.0,0.0,1
0.0,0.125,0.10526315789473684,0.09832071729957804,0.0,0.03225806451612903,0.041666666666666664,0.20435833785315521,0.8775510204081631,0.0,0.10344827586206896,0.012709875183224688,0.04127959717577484,0.7092696629213484,0.00017272727272727272,0.0009143146616997141,0.008900393388201013,0.001,0.0,0.0,0.0,0.0,1.0,1
1.0,0.875,0.07894736842105263,0.034852320675105485,0.0,0.03225806451612903,0.041666666666666664,0.03751930316870252,0.9795918367346939,0.0,0.06896551724137931,0.0031348571481619133,0.04624286720529375,0.773876404494382,0.00013636363636363637,0.012964889235875422,0.003281623028319025,0.0007999999999999999,0.0,0.0,0.0,0.0,0.0,1
0.6666666666666666,0.375,0.05263157894736842,0.014445654008438816,0.0,0.0,0.08333333333333333,0.021989787251870882,0.7755102040816326,0.0,0.10344827586206896,0.0031348571481619133,0.04984488721088537,0.7485955056179776,0.00027272727272727274,0.006217185254513849,0.0015736700816604008,0.0026666666666666666,0.0,0.0,1.0,0.0,1.0,1
1.0,0.25,0.3421052631578947,0.010037932489451474,0.0,0.12903225806451613,0.3333333333333333,0.032972612839572965,0.42857142857142855,0.0,0.13793103448275862,0.0031348571481619133,0.0726904605158745,0.6587078651685394,0.0001,0.0024888818873802184,0.0006299762356466864,0.0003033333333333333,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.47368421052631576,0.050632911392405056,0.0,0.06451612903225806,0.625,0.08314013087218217,0.6734693877551019,0.0,0.1724137931034483,0.0031348571481619133,0.04127959717577484,0.7008426966292134,0.0001959090909090909,0.004451106174017865,0.0011266469197230842,0.002951333333333333,0.0,0.0,0.0,0.0,1.0,1
1.0,0.75,0.21052631578947367,0.07767932489451476,0.0,0.12903225806451613,0.041666666666666664,0.08090230672581371,0.46938775510204084,0.0,0.10344827586206896,0.0031348571481619133,0.031799964990889634,0.7219101123595506,9.09090909090909e-05,0.004349172444841883,0.001100845845225609,0.0003333333333333333,0.0,0.0,0.0,0.0,0.0,1
1.0,0.875,0.07894736842105263,0.10791983122362868,0.0,0.06451612903225806,0.0,0.09754526994379938,0.4081632653061224,0.0,0.20689655172413793,0.0031348571481619133,0.031712009533665424,0.6980337078651686,9.09090909090909e-05,0.0012618160111632878,0.00031938602824904916,0.00019999999999999998,0.0,0.0,0.0,0.0,0.0,1
0.6666666666666666,0.875,0.23684210526315788,0.036551772151898726,0.15384615384615385,0.0967741935483871,0.08333333333333333,0.048618255162046424,0.38775510204081626,0.0,0.06896551724137931,0.0031348571481619133,0.03144817777649781,0.6587078651685394,6.818181818181818e-05,0.03575788885980174,0.009050899656102951,0.0006666666666666666,0.0,0.0,1.0,0.0,0.0,1
0.3333333333333333,0.5,0.07894736842105263,0.02903164556962025,0.0,0.06451612903225806,0.0,0.202024424798589,0.18367346938775514,0.0,0.06896551724137931,0.0031348571481619133,0.07095973526549654,0.7331460674157304,0.00022727272727272727,0.0007853530497876767,0.00019878555124191126,0.0013333333333333333,0.0,0.0,1.0,0.0,1.0,1
